sales_line_id,date_key,store_id,product_id,qty_sold,net_sales_value
5000001,20260302,S101,P1001,3,83.97
5000002,20260302,S101,P1002,1,34.99
5000003,20260302,S101,P1004,1,32.99
5000004,20260302,S101,P1005,1,39.99
5000005,20260302,S101,P1006,2,75.98
5000006,20260302,S101,P1007,1,39.59
5000007,20260302,S101,P1010,3,89.97
5000008,20260302,S101,P1011,1,50.99
5000009,20260302,S101,P1012,1,35.99
5000010,20260302,S101,P1013,1,40.99
5000011,20260302,S101,P1019,2,140.78
5000012,20260302,S101,P1021,1,71.99
5000013,20260302,S101,P1022,1,97.59
5000014,20260302,S101,P1023,4,413.96
5000015,20260302,S101,P1024,3,253.77
5000016,20260302,S101,P1025,3,149.97
5000017,20260302,S101,P1026,1,78.29
5000018,20260302,S101,P1027,2,127.98
5000019,20260302,S101,P1030,1,37.79
5000020,20260302,S101,P1031,1,54.99
5000021,20260302,S101,P1033,2,19.98
5000022,20260302,S101,P1034,1,15.99
5000023,20260302,S101,P1035,2,45.98
5000024,20260302,S101,P1036,1,20.79
5000025,20260302,S101,P1037,2,53.98
5000026,20260302,S101,P1038,1,8.09
5000027,20260302,S101,P1039,2,44.78
5000028,20260302,S102,P1002,1,34.99
5000029,20260302,S102,P1003,1,29.99
5000030,20260302,S102,P1005,5,199.95
5000031,20260302,S102,P1006,1,34.19
5000032,20260302,S102,P1008,2,62.38
5000033,20260302,S102,P1009,2,81.98
5000034,20260302,S102,P1010,2,59.98
5000035,20260302,S102,P1011,3,122.38
5000036,20260302,S102,P1012,1,35.99
5000037,20260302,S102,P1013,1,32.79
5000038,20260302,S102,P1015,1,29.69
5000039,20260302,S102,P1016,1,39.99
5000040,20260302,S102,P1017,1,91.99
5000041,20260302,S102,P1020,2,225.98
5000042,20260302,S102,P1021,2,143.98
5000043,20260302,S102,P1023,1,91.99
5000044,20260302,S102,P1027,2,159.98
5000045,20260302,S102,P1029,1,78.99
5000046,20260302,S102,P1030,1,37.79
5000047,20260302,S102,P1030,-1,-41.99
5000048,20260302,S102,P1031,1,54.99
5000049,20260302,S102,P1033,1,7.99
5000050,20260302,S102,P1035,2,45.98
5000051,20260302,S102,P1036,3,62.38
5000052,20260302,S102,P1037,4,119.96
5000053,20260302,S102,P1040,1,10.79
5000054,20260302,S103,P1001,3,75.57
5000055,20260302,S103,P1002,2,62.98
5000056,20260302,S103,P1003,1,29.99
5000057,20260302,S103,P1004,1,32.99
5000058,20260302,S103,P1009,2,81.98
5000059,20260302,S103,P1010,1,26.99
5000060,20260302,S103,P1011,2,101.98
5000061,20260302,S103,P1012,1,35.99
5000062,20260302,S103,P1013,5,204.95
5000063,20260302,S103,P1014,3,89.97
5000064,20260302,S103,P1016,1,39.99
5000065,20260302,S103,P1017,1,114.99
5000066,20260302,S103,P1018,1,113.39
5000067,20260302,S103,P1021,2,115.18
5000068,20260302,S103,P1023,2,206.98
5000069,20260302,S103,P1025,1,44.99
5000070,20260302,S103,P1026,1,86.99
5000071,20260302,S103,P1027,3,239.97
5000072,20260302,S103,P1029,2,157.98
5000073,20260302,S103,P1031,2,98.98
5000074,20260302,S103,P1032,1,99.99
5000075,20260302,S103,P1033,1,9.99
5000076,20260302,S103,P1035,2,45.98
5000077,20260302,S103,P1038,1,8.09
5000078,20260302,S103,P1040,1,11.99
5000079,20260302,S104,P1001,1,25.19
5000080,20260302,S104,P1002,1,34.99
5000081,20260302,S104,P1003,4,107.96
5000082,20260302,S104,P1005,1,39.99
5000083,20260302,S104,P1008,1,38.99
5000084,20260302,S104,P1009,2,81.98
5000085,20260302,S104,P1011,1,40.79
5000086,20260302,S104,P1017,1,114.99
5000087,20260302,S104,P1019,1,87.99
5000088,20260302,S104,P1020,1,112.99
5000089,20260302,S104,P1021,1,71.99
5000090,20260302,S104,P1023,1,114.99
5000091,20260302,S104,P1026,3,260.97
5000092,20260302,S104,P1028,1,75.59
5000093,20260302,S104,P1029,1,78.99
5000094,20260302,S104,P1031,1,54.99
5000095,20260302,S104,P1031,-1,-43.99
5000096,20260302,S104,P1032,1,89.99
5000097,20260302,S104,P1033,2,19.98
5000098,20260302,S104,P1034,2,31.98
5000099,20260302,S104,P1037,2,59.98
5000100,20260302,S104,P1039,1,25.19
5000101,20260302,S104,P1040,2,21.58
5000102,20260302,S105,P1001,2,44.78
5000103,20260302,S105,P1003,2,53.98
5000104,20260302,S105,P1004,1,32.99
5000105,20260302,S105,P1005,1,39.99
5000106,20260302,S105,P1006,1,30.39
5000107,20260302,S105,P1007,1,43.99
5000108,20260302,S105,P1009,1,40.99
5000109,20260302,S105,P1010,1,29.99
5000110,20260302,S105,P1011,1,50.99
5000111,20260302,S105,P1013,1,36.89
5000112,20260302,S105,P1014,3,89.97
5000113,20260302,S105,P1015,1,26.39
5000114,20260302,S105,P1016,1,39.99
5000115,20260302,S105,P1017,1,114.99
5000116,20260302,S105,P1020,3,338.97
5000117,20260302,S105,P1021,1,64.79
5000118,20260302,S105,P1022,1,121.99
5000119,20260302,S105,P1024,1,75.19
5000120,20260302,S105,P1025,2,99.98
5000121,20260302,S105,P1026,3,260.97
5000122,20260302,S105,P1027,4,319.96
5000123,20260302,S105,P1029,1,71.09
5000124,20260302,S105,P1032,1,99.99
5000125,20260302,S105,P1033,3,29.97
5000126,20260302,S105,P1035,2,45.98
5000127,20260302,S105,P1037,1,29.99
5000128,20260302,S105,P1038,1,8.09
5000129,20260302,S105,P1040,1,9.59
5000130,20260302,S106,P1001,2,50.38
5000131,20260302,S106,P1003,1,26.99
5000132,20260302,S106,P1004,2,59.38
5000133,20260302,S106,P1005,1,39.99
5000134,20260302,S106,P1006,1,34.19
5000135,20260302,S106,P1009,1,36.89
5000136,20260302,S106,P1011,1,50.99
5000137,20260302,S106,P1013,2,81.98
5000138,20260302,S106,P1013,-2,-73.78
5000139,20260302,S106,P1015,1,32.99
5000140,20260302,S106,P1018,2,251.98
5000141,20260302,S106,P1021,1,71.99
5000142,20260302,S106,P1022,2,219.58
5000143,20260302,S106,P1023,3,310.47
5000144,20260302,S106,P1024,1,93.99
5000145,20260302,S106,P1025,1,49.99
5000146,20260302,S106,P1026,1,86.99
5000147,20260302,S106,P1027,2,159.98
5000148,20260302,S106,P1031,2,98.98
5000149,20260302,S106,P1032,1,79.99
5000150,20260302,S106,P1033,1,9.99
5000151,20260302,S106,P1035,2,36.78
5000152,20260302,S106,P1036,4,103.96
5000153,20260302,S106,P1037,2,59.98
5000154,20260302,S107,P1001,2,55.98
5000155,20260302,S107,P1003,1,29.99
5000156,20260302,S107,P1004,2,59.38
5000157,20260302,S107,P1005,3,95.98
5000158,20260302,S107,P1011,1,50.99
5000159,20260302,S107,P1012,2,71.98
5000160,20260302,S107,P1013,1,36.89
5000161,20260302,S107,P1014,1,29.99
5000162,20260302,S107,P1015,1,32.99
5000163,20260302,S107,P1017,3,344.97
5000164,20260302,S107,P1019,1,79.19
5000165,20260302,S107,P1023,1,91.99
5000166,20260302,S107,P1026,1,86.99
5000167,20260302,S107,P1027,4,255.97
5000168,20260302,S107,P1029,3,236.97
5000169,20260302,S107,P1030,1,37.79
5000170,20260302,S107,P1033,1,7.99
5000171,20260302,S107,P1034,2,28.78
5000172,20260302,S107,P1035,2,45.98
5000173,20260302,S107,P1037,1,26.99
5000174,20260302,S108,P1003,1,29.99
5000175,20260302,S108,P1004,2,65.98
5000176,20260302,S108,P1005,3,95.98
