snapshot_date_key,store_id,product_id,stock_on_hand_qty,stock_on_order_qty
20260308,S101,P1001,7,0
20260308,S101,P1002,6,10
20260308,S101,P1003,149,0
20260308,S101,P1004,10,0
20260308,S101,P1005,3,0
20260308,S101,P1006,8,0
20260308,S101,P1007,17,21
20260308,S101,P1008,10,4
20260308,S101,P1009,10,0
20260308,S101,P1010,2,0
20260308,S101,P1011,17,0
20260308,S101,P1012,5,0
20260308,S101,P1013,6,18
20260308,S101,P1014,63,0
20260308,S101,P1015,16,0
20260308,S101,P1016,22,0
20260308,S101,P1017,16,0
20260308,S101,P1018,27,16
20260308,S101,P1019,9,0
20260308,S101,P1020,5,0
20260308,S101,P1021,28,0
20260308,S101,P1022,4,0
20260308,S101,P1023,17,0
20260308,S101,P1024,10,0
20260308,S101,P1025,9,0
20260308,S101,P1026,2,0
20260308,S101,P1027,26,0
20260308,S101,P1028,11,0
20260308,S101,P1029,16,0
20260308,S101,P1030,11,0
20260308,S101,P1031,48,0
20260308,S101,P1032,5,18
20260308,S101,P1033,10,0
20260308,S101,P1034,7,15
20260308,S101,P1035,18,0
20260308,S101,P1036,15,0
20260308,S101,P1037,80,0
20260308,S101,P1038,14,19
20260308,S101,P1039,130,0
20260308,S101,P1040,4,0
20260308,S102,P1001,11,0
20260308,S102,P1002,1,0
20260308,S102,P1003,16,0
20260308,S102,P1004,3,0
20260308,S102,P1005,31,0
20260308,S102,P1006,8,0
20260308,S102,P1007,12,0
20260308,S102,P1008,6,0
20260308,S102,P1009,19,0
20260308,S102,P1010,13,0
20260308,S102,P1011,34,0
20260308,S102,P1012,28,30
20260308,S102,P1013,9,0
20260308,S102,P1014,7,12
20260308,S102,P1015,9,15
20260308,S102,P1016,16,0
20260308,S102,P1017,12,0
20260308,S102,P1018,6,12
20260308,S102,P1019,12,0
20260308,S102,P1020,6,15
20260308,S102,P1021,19,0
20260308,S102,P1022,1,0
20260308,S102,P1023,4,0
20260308,S102,P1024,7,0
20260308,S102,P1025,7,0
20260308,S102,P1026,5,12
20260308,S102,P1027,12,0
20260308,S102,P1028,23,0
20260308,S102,P1029,18,0
20260308,S102,P1030,21,0
20260308,S102,P1031,19,0
20260308,S102,P1032,3,9
20260308,S102,P1033,29,0
20260308,S102,P1034,12,14
20260308,S102,P1035,31,28
20260308,S102,P1036,8,0
20260308,S102,P1037,18,41
20260308,S102,P1038,48,0
20260308,S102,P1039,18,24
20260308,S102,P1040,7,0
20260308,S103,P1001,18,25
20260308,S103,P1002,13,12
20260308,S103,P1003,13,0
20260308,S103,P1004,14,0
20260308,S103,P1005,25,0
20260308,S103,P1006,10,0
20260308,S103,P1007,9,0
20260308,S103,P1008,7,0
20260308,S103,P1009,58,43
20260308,S103,P1010,8,0
20260308,S103,P1011,9,0
20260308,S103,P1012,13,0
20260308,S103,P1013,17,0
20260308,S103,P1014,9,0
20260308,S103,P1015,16,0
20260308,S103,P1016,25,0
20260308,S103,P1017,78,0
20260308,S103,P1018,5,0
20260308,S103,P1019,12,31
20260308,S103,P1020,8,0
20260308,S103,P1021,13,0
20260308,S103,P1022,9,0
20260308,S103,P1023,31,0
20260308,S103,P1024,12,0
20260308,S103,P1025,30,20
20260308,S103,P1026,15,18
20260308,S103,P1027,21,0
20260308,S103,P1028,36,11
20260308,S103,P1029,19,18
20260308,S103,P1030,7,0
20260308,S103,P1031,24,0
20260308,S103,P1032,24,0
20260308,S103,P1033,14,26
20260308,S103,P1034,10,0
20260308,S103,P1035,10,0
20260308,S103,P1036,20,22
20260308,S103,P1037,9,14
20260308,S103,P1038,4,0
20260308,S103,P1039,14,11
20260308,S103,P1040,10,7
20260308,S104,P1001,27,0
20260308,S104,P1002,7,9
20260308,S104,P1003,14,28
20260308,S104,P1004,12,7
20260308,S104,P1005,15,24
20260308,S104,P1006,6,0
20260308,S104,P1007,4,0
20260308,S104,P1008,11,0
20260308,S104,P1009,25,0
20260308,S104,P1010,14,0
20260308,S104,P1011,14,0
20260308,S104,P1012,13,0
20260308,S104,P1013,20,20
20260308,S104,P1014,7,14
20260308,S104,P1015,21,28
20260308,S104,P1016,7,12
20260308,S104,P1017,9,0
20260308,S104,P1018,9,0
20260308,S104,P1019,27,54
20260308,S104,P1020,18,0
20260308,S104,P1021,18,21
20260308,S104,P1022,10,0
20260308,S104,P1023,19,0
20260308,S104,P1024,11,11
20260308,S104,P1025,13,0
20260308,S104,P1026,25,0
20260308,S104,P1027,8,0
20260308,S104,P1028,10,0
20260308,S104,P1029,5,15
20260308,S104,P1030,11,0
20260308,S104,P1031,13,0
20260308,S104,P1032,6,0
20260308,S104,P1033,11,15
20260308,S104,P1034,8,0
20260308,S104,P1035,13,23
20260308,S104,P1036,7,0
20260308,S104,P1037,21,0
20260308,S104,P1038,5,12
20260308,S104,P1039,10,0
20260308,S104,P1040,20,0
20260308,S105,P1001,21,0
20260308,S105,P1002,18,0
20260308,S105,P1003,9,0
20260308,S105,P1004,7,0
20260308,S105,P1005,19,0
20260308,S105,P1006,8,0
20260308,S105,P1007,7,0
20260308,S105,P1008,14,10
20260308,S105,P1009,21,0
20260308,S105,P1010,24,13
20260308,S105,P1011,71,0
20260308,S105,P1012,4,0
20260308,S105,P1013,58,20
20260308,S105,P1014,12,10
20260308,S105,P1015,7,0
20260308,S105,P1016,14,0
20260308,S105,P1017,15,27
20260308,S105,P1018,13,24
20260308,S105,P1019,119,0
20260308,S105,P1020,17,0
20260308,S105,P1021,35,22
20260308,S105,P1022,11,13
20260308,S105,P1023,9,23
20260308,S105,P1024,10,0
20260308,S105,P1025,13,0
20260308,S105,P1026,12,0
20260308,S105,P1027,19,0
20260308,S105,P1028,13,19
20260308,S105,P1029,39,0
20260308,S105,P1030,9,9
20260308,S105,P1031,16,0
20260308,S105,P1032,26,0
20260308,S105,P1033,20,31
20260308,S105,P1034,10,0
20260308,S105,P1035,-3,0
20260308,S105,P1036,7,0
20260308,S105,P1037,33,0
20260308,S105,P1038,10,0
20260308,S105,P1039,16,26
20260308,S105,P1040,41,0
20260308,S106,P1001,50,11
20260308,S106,P1002,19,0
20260308,S106,P1003,29,12
20260308,S106,P1004,17,0
20260308,S106,P1005,49,0
20260308,S106,P1006,21,0
20260308,S106,P1007,37,17
20260308,S106,P1008,39,0
20260308,S106,P1009,79,0
20260308,S106,P1010,39,0
20260308,S106,P1011,44,0
20260308,S106,P1012,58,15
20260308,S106,P1013,89,37
20260308,S106,P1014,22,0
20260308,S106,P1015,87,0
20260308,S106,P1016,26,11
20260308,S106,P1017,36,0
20260308,S106,P1018,17,6
20260308,S106,P1019,32,0
20260308,S106,P1020,25,17
20260308,S106,P1021,96,0
20260308,S106,P1022,72,0
20260308,S106,P1023,45,33
20260308,S106,P1024,19,0
20260308,S106,P1025,71,0
20260308,S106,P1026,29,10
20260308,S106,P1027,43,0
20260308,S106,P1028,35,0
20260308,S106,P1029,48,21
20260308,S106,P1030,16,0
20260308,S106,P1031,89,20
20260308,S106,P1032,16,16
20260308,S106,P1033,57,22
20260308,S106,P1034,23,11
20260308,S106,P1035,37,0
20260308,S106,P1036,31,0
20260308,S106,P1037,133,0
20260308,S106,P1038,35,7
20260308,S106,P1039,33,0
20260308,S106,P1040,19,0
20260308,S107,P1001,30,6
20260308,S107,P1002,7,0
20260308,S107,P1003,65,0
20260308,S107,P1004,28,0
20260308,S107,P1005,34,0
20260308,S107,P1006,18,0
20260308,S107,P1007,75,18
20260308,S107,P1008,20,9
20260308,S107,P1009,53,0
20260308,S107,P1010,25,0
20260308,S107,P1011,52,28
20260308,S107,P1012,28,12
20260308,S107,P1013,42,7
20260308,S107,P1014,17,12
20260308,S107,P1015,34,21
20260308,S107,P1016,35,13
20260308,S107,P1017,97,0
20260308,S107,P1018,12,13
20260308,S107,P1019,67,0
20260308,S107,P1020,22,0
20260308,S107,P1021,42,0
20260308,S107,P1022,80,0
20260308,S107,P1023,49,0
20260308,S107,P1024,37,0
20260308,S107,P1025,60,0
20260308,S107,P1026,43,0
20260308,S107,P1027,65,0
20260308,S107,P1028,20,0
20260308,S107,P1029,50,17
20260308,S107,P1030,33,10
20260308,S107,P1031,26,15
20260308,S107,P1032,20,0
20260308,S107,P1033,36,17
20260308,S107,P1034,51,11
20260308,S107,P1035,68,0
20260308,S107,P1036,8,0
20260308,S107,P1037,35,0
20260308,S107,P1038,21,0
20260308,S107,P1039,62,0
20260308,S107,P1040,19,0
20260308,S108,P1001,65,0
20260308,S108,P1002,41,20
20260308,S108,P1003,37,0
20260308,S108,P1004,20,0
20260308,S108,P1005,38,28
20260308,S108,P1006,28,0
20260308,S108,P1007,54,0
20260308,S108,P1008,45,0
20260308,S108,P1009,106,0
20260308,S108,P1010,20,0
20260308,S108,P1011,71,0
20260308,S108,P1012,19,0
20260308,S108,P1013,43,20
20260308,S108,P1014,38,0
20260308,S108,P1015,32,0
20260308,S108,P1016,27,0
20260308,S108,P1017,47,8
20260308,S108,P1018,14,0
20260308,S108,P1019,48,20
20260308,S108,P1020,38,0
20260308,S108,P1021,37,0
20260308,S108,P1022,34,0
20260308,S108,P1023,28,9
20260308,S108,P1024,40,0
20260308,S108,P1025,30,0
20260308,S108,P1026,44,0
20260308,S108,P1027,114,28
20260308,S108,P1028,60,8
20260308,S108,P1029,10,0
20260308,S108,P1030,29,0
20260308,S108,P1031,81,0
20260308,S108,P1032,8,11
20260308,S108,P1033,36,0
20260308,S108,P1034,21,14
20260308,S108,P1035,50,0
20260308,S108,P1036,28,0
20260308,S108,P1037,67,0
20260308,S108,P1038,19,0
20260308,S108,P1039,30,0
20260308,S108,P1040,18,20
20260308,S109,P1001,53,11
20260308,S109,P1002,10,0
20260308,S109,P1003,36,0
20260308,S109,P1004,14,8
20260308,S109,P1005,36,16
20260308,S109,P1006,36,0
20260308,S109,P1007,27,18
20260308,S109,P1008,25,13
20260308,S109,P1009,40,34
20260308,S109,P1010,26,0
20260308,S109,P1011,14,0
20260308,S109,P1012,76,0
20260308,S109,P1013,74,0
20260308,S109,P1014,20,0
20260308,S109,P1015,42,23
20260308,S109,P1016,27,0
20260308,S109,P1017,17,0
20260308,S109,P1018,18,0
20260308,S109,P1019,69,0
20260308,S109,P1020,25,0
20260308,S109,P1021,36,0
20260308,S109,P1022,43,9
20260308,S109,P1023,14,0
20260308,S109,P1024,23,0
20260308,S109,P1025,40,0
20260308,S109,P1026,24,2
20260308,S109,P1027,102,38
